name,latitude,longitude,diameter,production_time,production_time_stdev,production_D,production_N,production_N_stdev,production_sequence
South Pole-Aitken,-53,191,2400000,4309,,,,,0
Fecunditatis,-4.6,52,690000,,,90,10,4,10
Balmer-Kapteyn,-15.8,69.6,265000,,,,,,5
Medii,0.8,0.5,326000,,,,,,5
Aestuum,11.3,351.1,330000,,,,,,5
Szilard North,34.3,105.6,200000,,,,,,5
Copernicus-H,7.2,341.8,260000,,,,,,5
Vaporum,14.2,3.1,410000,,,,,,5
Fowler-Charlier,39.5,218,374000,,,,,,5
Australe North,-35.5,96,880000,,,90,15,4,10
Mutus-Vlacq,-53.5,24,450000,,,,,,5
Nubium,-21.3,343.4,690000,,,20,526,77,10
Asperitatis,-7.7,26.8,730000,,,64,55,19,10
Birkhoff,58.9,213.4,334000,,,64,49,19,20
Ingenii,-32.8,163.8,342000,,,64,63,22,
TOPO-13,-37.25,147.4,220000,,,,,,5
Amundsen-Ganswindt,-81,123,378000,,,20,359,108,15
Bartels-Voskresenskiy,27.7,268.2,290000,,,,,,15
Cruger-Sirsalis,-16,293,430000,,,20,365,86,15
Smythii,-2.5,86.9,878000,,,20,355,39,15
Fitzgerald-Jackson,25.1,190.6,600000,,,64,80,36,10
Schiller-Zucchius,-55.7,314.8,361000,,,20,234,65,20
Poincare,-57.3,163.1,312000,,,20,286,61,20
Wegener-Winlock,40.2,251.6,205000,,,,,,5
Orientale Southwest,-28,251,276000,,,,,,5
TOPO-22,49.4,179,500000,,,,,,5
Dirichlet-Jackson,13.4,201.8,452000,,,20,346,60,15
Coloumb-Sarton,51.2,237.5,672000,,,20,281,63,15
Serenitatis North,35.7,16.8,420000,,,,,,5
Gagarin,-19.7,149.4,256000,,,20,278,60,
Fermi,-19.8,123.4,241000,,,20,278,60,
Landau,42.2,240.8,236000,,,20,278,60,
Milne,-31.25,112.8,264000,,,20,278,60,
Serenitatis,25.4,18.8,923000,4250,,,,,
Pasteur,-11.5,104.8,231000,,,20,278,60,
Von Karman M,-47.1,176.2,255000,,,20,278,60,25
Rupes Recta,-22.5,353,212000,,,,,,5
Deslandres,-32.6,354.7,220000,,,20,278,60,
Lorentz,34.2,263,351000,,,20,275,60,25
Poczobutt,57.7,260.4,225000,,,20,225,60,
Galois,-14,207.7,210000,,,,,,55
Leibnitz,-38.2,179.2,247000,,,20,225,60,30
Schickard,-44.5,305,206000,,,20,225,60,
Harkhebi,40,98.6,280000,,,20,225,60,
Campbell,45.5,153,237000,,,20,225,60,25
Lamont,4.8,23.4,370000,,,20,225,60,
Nectaris,-15.6,35.1,885000,,,20,172,20,40
Freundlich-Sharanov,18.35,175.2,582000,,,20,173,25,40
Grimaldi,-5,291.3,460000,,,20,165,43,35
Apollo,-36.1,208.3,492000,,,20,158,29,45
Planck,-57.4,135.1,321000,,,20,135,48,50
d'Alembert,51.05,164.8,232000,,,20,146,48,50
Mendel-Rydberg,-49.8,265.4,650000,,,20,158,26,40
Mendeleev,5.5,141.1,331000,,,20,125,40,
Oppenheimer,-35.4,194,206000,,,20,126,64,50
Korolev,-4.4,202.2,417000,,,20,128,24,50
Keeler West,-10.1,156.8,218000,,,20,128,24,
Moscoviense North,27.3,148.8,640000,,,20,128,19,50
Moscoviense,26.1,147,421000,,,20,128,19,55
Clavius,-58.8,345.3,220000,,,20,125,40,
Schwarzschild,70.3,121,207000,,,20,125,40,
Humorum,-23.8,320.8,816000,,,20,121,25,60
Hertzsprung,2,231,571000,,,20,116,26,60
Humboldtianum,57.26,82,618000,,,20,109,19,70
Bel'Kovich,61.5,90.2,205000,,,20,112,25,80
Sikorsky-Rittenhaus,-68.4,109.5,270000,,,20,112,25,80
Bailly,-67.1,291.1,299000,,,20,112,25,
Crisium East,16.5,66,372000,,,,,,5
Crisium,16.8,58.4,1076000,,,20,114,13,90
Imbrium,37,341.5,1321000,3922,12,,,,100
Schrödinger,-74.9,133.5,326000,,,20,19,7,110
Orientale,-20.1,265.2,937000,,,20,20,4,110
Humboldt,-27.15,81,206000,,,20,10,7,120
Iridum,44.8,328.4,252000,,,20,10,7,120
Copernicus,9.6209,339.9214,96070,800.0,15,,,,200
Tycho,-43.2958,348.7847,85294,109,4,,,,300
