Class (FINAL),Morph Class,Simplified Terrain,DEM,"Diameter, crater (m)",depth (m),depth/ Diameter,Avg Wall Slope (ø),rim h (avg),rim/D
AB,NORMAL,highlands,Apollo15,42,6.8,0.16,18.6,NaN,NaN
AB,NORMAL,mare,Apollo15,45,5,0.11,12.8,NaN,NaN
AB,NORMAL,highlands,Apollo16,45,5.2,0.12,14,NaN,NaN
AB,NORMAL,highlands,Apollo16,71,8,0.11,13.5,NaN,NaN
AB,NORMAL,highlands,Apollo16,115,16.1,0.14,18,NaN,NaN
AB,NORMAL,highlands,Apollo16,65,9.6,0.15,17.4,NaN,NaN
AB,NORMAL,highlands,Apollo16,51,5.8,0.11,14.2,NaN,NaN
AB,NORMAL,highlands,Apollo16,96,12.5,0.13,15,NaN,NaN
AB,FLAT,highlands,Apollo16,62,5.2,0.08,9.9,NaN,NaN
AB,NORMAL,highlands,Apollo16,48,6.8,0.14,15.9,NaN,NaN
AB,NORMAL,highlands,Apollo16,46,6.5,0.14,16,NaN,NaN
AB,NORMAL,highlands,Apollo16,64,9.9,0.15,17.3,NaN,NaN
AB,NORMAL,highlands,Apollo16,69,9.8,0.14,15.9,NaN,NaN
AB,NORMAL,highlands,Apollo16,140,25.9,0.19,20.9,NaN,NaN
AB,NORMAL,highlands,Apollo16,55,5.8,0.11,12.1,NaN,NaN
AB,FLAT,highlands,Apollo16_2,1019,234,0.23,27.2,45,0.04
AB,NORMAL,highlands,Apollo17_1,76,13.7,0.18,20.8,NaN,NaN
AB,NORMAL,mix,Apollo17_2,39,3.5,0.09,11.9,NaN,NaN
AB,NORMAL,ejecta,Aristarchu2,74,10,0.14,15.2,NaN,NaN
AB,NORMAL,ejecta,Aristarchu2,71,10.4,0.15,16.3,NaN,NaN
AB,NORMAL,ejecta,Aristarchu2,96,12.7,0.13,15.3,NaN,NaN
AB,NORMAL,ejecta,Aristarchu2,107,17.6,0.16,18.2,NaN,NaN
AB,NORMAL,ejecta,Aristarchu2,42,4.3,0.1,11.6,NaN,NaN
AB,NORMAL,ejecta,Aristarchu2,149,18.5,0.12,15.1,NaN,NaN
AB,NORMAL,ejecta,Aristarchu5,57,6.6,0.12,15.9,NaN,NaN
AB,NORMAL,ejecta,Aristarchu5,81,11.6,0.14,16.2,NaN,NaN
AB,NORMAL,ejecta,Aristarchu5,64,8.7,0.14,15.5,NaN,NaN
AB,NORMAL,ejecta,Aristarchu5,55,6.6,0.12,14.9,NaN,NaN
AB,NORMAL,SP,Bhabha,54,4.7,0.09,11.4,NaN,NaN
AB,NORMAL,SP,Bhabha,49,5.6,0.11,13,NaN,NaN
AB,NORMAL,SP,Bhabha,43,3.8,0.09,10.1,NaN,NaN
AB,NORMAL,SP,Bhabha,47,4.8,0.1,11.7,NaN,NaN
AB,POND,ejecta,CopernGrab,296,59,0.2,23.8,8,0.03
AB,NORMAL,mare,CxMarius,97,14,0.14,17.2,4,0.04
AB,NORMAL,mare,CxMarius,252,42,0.17,19.6,4,0.02
AB,FLAT,highlands,DAlembert,274,36,0.13,14.6,5,0.02
AB,NORMAL,ejecta,Fresh1,66,8.2,0.12,15.2,NaN,NaN
AB,NORMAL,ejecta,Fresh1,63,9.1,0.14,16.4,NaN,NaN
AB,NORMAL,ejecta,Fresh1,41,3.4,0.08,9.6,NaN,NaN
AB,NORMAL,ejecta,Fresh1,41,4,0.1,11.9,NaN,NaN
AB,NORMAL,SP,Fresh13,91,14.6,0.16,18.4,NaN,NaN
AB,POND,mix,Fresh9,2597,565,0.22,27.4,151,0.06
AB,NORMAL,mix,GEMIMP1,1013,224,0.22,26.4,40,0.04
AB,POND,impact_melt,Glushko,1858,339,0.18,22.5,NaN,NaN
AB,NORMAL,highlands,Hanno,117,16,0.14,16.4,2,0.02
AB,NORMAL,highlands,HawkeG,3178,642,0.2,25.7,79,0.02
AB,NORMAL,mare,Hortensius5,57,6.8,0.12,13.6,NaN,NaN
AB,FLAT,mare,Hortensius5,52,7,0.14,15.9,NaN,NaN
AB,MOUND,mare,Hortensius5,46,5.7,0.12,14.1,NaN,NaN
AB,NORMAL,mare,Hortensius5,94,13.7,0.15,16.3,NaN,NaN
AB,FLAT,mare,Hortensius5,54,6.3,0.12,13.4,NaN,NaN
AB,NORMAL,mare,Hortensius5,74,9.1,0.12,14.2,NaN,NaN
AB,NORMAL,mare,Hortensius5,48,8.1,0.17,18.8,NaN,NaN
AB,NORMAL,mare,Hortensius5,47,5.7,0.12,14.3,NaN,NaN
